Date,maxAT,meanAT,minAT,meanRH,maxRH,minRH,meanDP,meanLW,meanSM,meanST,meanRF,Foci,meanAT_5d,meanRH_5d,meanLW_5d,meanDP_5d,meanSM_5d,meanST_5d,meanRF_5d,temp_humidity_5d,leafwet_humidity_5d,dewpoint_diff_5d,Foci_lag1
2022-06-15,28.0260181427002,22.9194984436035,18.529993057251,61.3743896484375,78.5661315917969,43.2296943664551,14.728239059448198,0.0,0.299923539161682,22.0497207641602,0.0,7.469544268377039,22.88064994812012,56.56177597045898,11.17235565185546,12.782108306884762,0.31509492397308375,21.09621925354004,0.017333348592122398,1294.1701964240642,631.9282774425398,10.098541641235357,3.089675690121362
2022-06-17,33.5500030517578,27.1156692504883,21.5559978485107,57.320316314697294,86.8741989135742,30.658809661865195,16.7295761108398,4.28093099594116,0.276712656021118,24.0030994415283,0.004999923830231,7.883936993020189,23.037766647338863,59.1056884765625,11.17235565185546,13.803541946411121,0.3087507843971256,21.4352882385254,0.017333348592122398,1361.6630586533524,660.3497727079312,9.234224700927742,7.469544268377039
2022-06-20,26.9120063781738,20.6183338165283,13.493992805481,41.4103240966797,60.24468231201169,23.0579414367676,6.0825629234314,0.0,0.235833525657654,19.5233459472656,0.0,7.176458844243225,24.18635063171386,61.508162689208994,12.028541851043693,15.53129310607908,0.3069443225860598,22.27941398620606,0.0183333333581686,1487.6579895137088,739.8535090879545,8.655057525634781,7.883936993020189
2022-06-22,22.0240097045898,19.9598388671875,17.871997833252,76.3708801269531,88.1057281494141,62.07656097412111,15.5351638793945,20.0000762939453,0.237282648682594,20.5720329284668,0.0658334145943324,4.323842985600199,23.4227668762207,57.001010894775405,6.022926616668693,13.51564054489134,0.2985691964626314,21.72763633728028,0.0009999847660462,1335.1213898972405,343.31290569516494,9.907126331329358,7.176458844243225
2022-06-24,27.9559993743897,22.3757476806641,16.3039951324463,71.5286636352539,93.2372589111328,46.946739196777294,16.4376640319824,20.2229232788086,0.252929449081421,20.7522048950195,0.0,4.770566874174682,23.093518447875983,61.61839218139647,10.022941875457752,14.398124599456759,0.27896385490894315,21.69406394958496,0.01416666768491268,1422.9854765695368,617.5975632932973,8.695393848419224,4.323842985600199
2022-06-27,26.7240028381348,23.6729965209961,20.8439979553223,78.6973876953125,94.2743225097656,64.891960144043,19.6452484130859,45.219688415527294,0.253680318593979,23.6850395202637,0.244999945163727,3.1891396277431943,22.59781761169434,61.600914764404294,8.900786113739013,13.902641201019259,0.26053636372089384,21.38008079528808,0.01416666768491268,1392.0462365595372,548.2965667286303,8.69517641067508,4.770566874174682
2022-06-29,29.7560043334961,24.1317520141602,16.9579925537109,54.2708358764648,83.9263000488281,32.115119934082,13.2542362213135,1.57072842121124,0.256621211767197,22.3706245422363,0.0,6.725293183676036,22.74851722717286,65.0655143737793,17.94472379684447,14.886043071746801,0.2512877196073532,21.70714454650878,0.06316665671765807,1480.1439746267818,1167.5826841370833,7.86247415542606,3.1891396277431943
2022-07-01,33.6500053405762,27.1220016479492,21.4359931945801,67.9745178222656,90.392204284668,39.0587158203125,20.1254119873047,12.4154357910156,0.234529495239258,25.3870429992676,0.128334164619446,11.433540841350686,22.15173377990724,64.45561828613282,17.402683281898486,14.190975093841539,0.247269430756569,21.38064956665038,0.06216667195161187,1427.8036968937352,1121.700710772514,7.9607586860657005,6.725293183676036
2022-07-04,30.098003387451197,24.9689979553223,18.4119892120361,40.4988632202148,58.078464508056605,26.0367527008057,9.88639640808106,0.0,0.24663022160530101,24.4441471099854,0.0,9.864083820662769,23.45246734619142,69.76845703124998,19.885770440101606,16.9995449066162,0.2470086246728898,22.55338897705078,0.08783350487550108,1636.2424603195493,1387.3995204835298,6.452922439575218,11.433540841350686
2022-07-06,30.1940040588379,26.829420089721697,23.121997833252,64.7624206542969,91.8296737670898,44.8987884521484,19.0509948730469,1.17262411117554,0.244648590683937,25.516963958740195,0.0,12.107083569137897,24.45429916381838,62.59405364990232,15.885755181312547,15.869791412353512,0.2488781392574312,23.327811813354497,0.0746668219566346,1530.6937138308092,994.3538120882913,8.584507751464868,9.864083820662769
2022-07-07,26.7060050964355,24.154499053955096,21.1219959259033,70.9783630371094,84.5939559936523,61.46475982666019,18.4705791473389,27.5000247955322,0.237941950559616,24.3307266235352,0.0641668935616811,7.97180013205056,25.3450336456299,61.24080505371093,12.075695347785935,16.39245758056641,0.2472219675779344,24.28076362609864,0.0746668219566346,1552.150264571765,739.5253046817625,8.95257606506349,12.107083569137897
2022-07-08,29.304002761840803,24.6508331298828,19.581995010376,72.2422637939453,91.0135879516602,52.3623199462891,19.0139961242676,17.5008087158203,0.235258668661118,23.8883514404297,0.0250001276532809,20.09036030937558,25.441334152221696,59.6970001220703,8.531762623786916,16.15752372741701,0.24407429397106178,24.40990104675294,0.038500211636225426,1518.7713279908098,509.3206343936823,9.283810424804685,7.97180013205056
