Date,Damage,Foci,,,,,,
2022-07-08,435.675,,,,,,,
2022-07-08,3318.195,,,,,,,
2022-07-08,67.51,,,,,,,
2022-07-08,213.52,,,,,,,
2022-07-08,66.725,,,,,,,
2022-07-08,147.58,,,,,,,
2022-07-08,5363.905,,,,,,,
2022-07-08,2568.52,,,,,,,
2022-07-08,2739.65,,,,,,,
2022-07-08,26962.4,,,,,,,
2022-07-11,712.78,,,,,,,
2022-07-11,549.5,,,,,,,
2022-07-11,575.405,,,,,,,
2022-07-11,3370.79,,,,,,,
2022-07-11,95.77,,,,,,,
2022-07-11,270.825,,,,,,,
2022-07-11,155.43,,,,,,,
2022-07-11,182.12,,,,,,,
2022-07-11,7768.36,,,,,,,
2022-07-11,3731.89,,,,,,,
2022-07-11,3360.585,,,,,,,
2022-07-11,27237.93,,,,,,,
2022-07-13,657.045,,,,,,,
2022-07-13,222.94,,,,,,,
2022-07-13,399.565,,,,,,,
2022-07-13,4143.23,,,,,,,
2022-07-13,67.51,,,,,,,
2022-07-13,309.29,,,,,,,
2022-07-13,117.75,,,,,,,
2022-07-13,153.86,,,,,,,
2022-07-13,7167.835,,,,,,,
2022-07-13,2609.34,,,,,,,
2022-07-13,3168.26,,,,,,,
2022-07-13,33496.74,,,,,,,
2022-07-15,567.555,,,,,,,
2022-07-15,195.465,,,,,,,
2022-07-15,346.97,,,,,,,
2022-07-15,3085.835,,,,,,,
2022-07-15,0,,,,,,,
2022-07-15,164.85,,,,,,,
2022-07-15,0,,,,,,,
2022-07-15,76.145,,,,,,,
2022-07-15,5746.985,,,,,,,
2022-07-15,1952.295,,,,,,,
2022-07-15,2132.845,,,,,,,
2022-07-15,21529.41,,,,,,,
2022-07-18,1022.855,,,,,,,
2022-07-18,497.69,,,,,,,
2022-07-18,559.705,,,,,,,
2022-07-18,2694.12,,,,,,,
2022-07-18,84.78,,,,,,,
2022-07-18,105.975,,,,,,,
2022-07-18,194.68,,,,,,,
2022-07-18,181.335,,,,,,,
2022-07-18,8076.865,,,,,,,
2022-07-18,2140.695,,,,,,,
2022-07-18,3496.39,,,,,,,
2022-07-18,34042.31,,,,,,,
2022-07-20,1544.095,,,,,,,
2022-07-20,893.33,,,,,,,
2022-07-20,1018.145,,,,,,,
2022-07-20,5443.19,,,,,,,
2022-07-20,125.6,,,,,,,
2022-07-20,671.96,,,,,,,
2022-07-20,206.455,,,,,,,
2022-07-20,243.35,,,,,,,
2022-07-20,18027.53,,,,,,,
2022-07-20,6040.575,,,,,,,
2022-07-20,6210.92,,,,,,,
2022-07-20,58488,,,,,,,
2022-07-22,2051.205,,,,,,,
2022-07-22,1049.545,,,,,,,
2022-07-22,744.18,,,,,,,
2022-07-22,6416.59,,,,,,,
2022-07-22,134.235,,,,,,,
2022-07-22,658.615,,,,,,,
2022-07-22,233.145,,,,,,,
2022-07-22,368.165,,,,,,,
2022-07-22,14373.35,,,,,,,
2022-07-22,8952.14,,,,,,,
2022-07-22,6921.345,,,,,,,
2022-07-22,69843.81,,,,,,,
2022-07-25,1431.055,,,,,,,
2022-07-25,738.685,,,,,,,
2022-07-25,426.255,,,,,,,
2022-07-25,5264.21,,,,,,,
2022-07-25,95.77,,,,,,,
2022-07-25,264.545,,,,,,,
2022-07-25,124.815,,,,,,,
2022-07-25,204.1,,,,,,,
2022-07-25,10755.29,,,,,,,
2022-07-25,6225.835,,,,,,,
2022-07-25,7957.545,,,,,,,
2022-07-25,52598.93,,,,,,,
2022-07-27,1760.755,,,,,,,
2022-07-27,1080.945,,,,,,,
2022-07-27,525.165,,,,,,,
2022-07-27,6389.115,,,,,,,
2022-07-27,193.11,,,,,,,
2022-07-27,476.495,,,,,,,
2022-07-27,505.54,,,,,,,
2022-07-27,415.265,,,,,,,
2022-07-27,18102.89,,,,,,,
2022-07-27,9166.445,,,,,,,
2022-07-27,10248.96,,,,,,,
2022-07-27,58698.38,,,,,,,
2022-07-29,1685.395,,,,,,,
2022-07-29,1938.165,,,,,,,
2022-07-29,855.65,,,,,,,
2022-07-29,6225.835,,,,,,,
2022-07-29,262.975,,,,,,,
2022-07-29,895.685,,,,,,,
